,title,jobFunction,industry
34,Accounts Receivable Accountant,['Accounting/Finance'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management']"
35,PMO (Project Management Office) Specialist,"['Project/Program Management', 'IT/Software Development']","['Human Resources', 'Electronics and Semiconductors', 'Computer Software']"
36,Software Project Manager / Business Analyst,"['Project/Program Management', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
37,WordPress Developer - WooCommerce - Qalubia,"['Engineering - Telecom/Technology', 'Project/Program Management', 'IT/Software Development']","['Security and Surveillance', 'Information Technology Services', 'Computer Networking']"
38,Senior Java Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
39,Senior CISCO Collaboration Engineer,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
40,Modifications Executive Engineer,"['Creative/Design/Art', 'Engineering - Construction/Civil/Architecture']",['Real Estate/Property Management']
41,HR Generalist,['Human Resources'],['Information Technology Services']
42,Software ERP Implementer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
43,Real Estate Broker,['Sales/Retail'],['Real Estate/Property Management']
44,Senior Software Quality Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Quality']","['Computer Software', 'Computer Games', 'Information Technology Services']"
45,HR Specialist,['Human Resources'],"['Education', 'Human Resources', 'Computer Software']"
46,SEO Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Marketing and Advertising', 'Information Technology Services']"
47,Senior Sales Representative - Cairo,['Sales/Retail'],['Marketing and Advertising']
48,Planning Specialist - Sharqia,"['Engineering - Mechanical/Electrical', 'Project/Program Management']",['Manufacturing']
49,Costing & Budgeting Officer,['Accounting/Finance'],"['Construction - Residential & Commercial/Office', 'Engineering Services', 'Real Estate/Property Management']"
50,Software Developer - Alexandria,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
51,Financial Software Consultant,"['IT/Software Development', 'Accounting/Finance']",['Computer Software']
52,Software Tester,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Quality']",['Computer Software']
53,.Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
54,Social Media Marketing Specialist,"['Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Marketing and Advertising']
55,Customer Service Agent (English),['Customer Service/Support'],"['Computer Software', 'Consumer Services', 'Healthcare and Medical Services']"
56,SEO/SEM Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Information Technology Services', 'Computer Software', 'Marketing and Advertising']"
57,2D Graphic Designer,"['Media/Journalism/Publishing', 'Creative/Design/Art']","['Pharmaceuticals', 'Marketing and Advertising', 'Graphic Design']"
58,Senior Electrical Site Engineer,['Engineering - Mechanical/Electrical'],['Construction - Residential & Commercial/Office']
59,Tech Lead,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Logistics and Supply Chain', 'Computer Software']"
60,English - Arabic Translator,['Writing/Editorial'],"['Information Technology Services', 'Media Production', 'Marketing and Advertising']"
61,AP Accountant,['Accounting/Finance'],['Information Technology Services']
62,Administrative Assistant - Intern - Alexandria,['Administration'],"['Manufacturing', 'Agriculture/Fishing/Farming', 'Business Services - Other']"
63,Property Consultant - Broker,['Sales/Retail'],['Real Estate/Property Management']
64,Virtual Partner Account Manager,"['Sales/Retail', 'Customer Service/Support']",['Information Technology Services']
65,Senior Front-End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
66,Application Developer,"['Business Development', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
67,Mechanical Site Engineer,['Engineering - Mechanical/Electrical'],"['Engineering Services', 'Construction - Industrial Facilities and Infrastructure']"
68,Pre-Sales Engineer - Riyadh,"['Sales/Retail', 'IT/Software Development', 'Engineering - Mechanical/Electrical']",['Computer Software']
69,Finishing Foreman,['nan'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management']"
70,UI/UX Graphic Designer,['Creative/Design/Art'],"['Computer Software', 'Information Technology Services', 'Business Services - Other']"
71,Software Business Analyst - Project Manager,"['Project/Program Management', 'Analyst/Research', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
72,Help Desk Admin,['Administration'],"['Human Resources', 'Electronics and Semiconductors', 'Computer Software']"
73,UX Designer (Research/Wireframes/Prototypes),"['Analyst/Research', 'IT/Software Development', 'Creative/Design/Art']","['Computer Software', 'Human Resources', 'Information Technology Services']"
74,IT Help Desk Specialist,"['IT/Software Development', 'Installation/Maintenance/Repair']",['Information Technology Services']
75,Pre Sales Technical Consultant - French,['Sales/Retail'],"['Electronics and Semiconductors', 'Computer Software', 'Human Resources']"
76,.Net Technical Lead,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
77,ERP Implementer/Business Consultant,['Accounting/Finance'],"['Information Technology Services', 'Computer Software']"
78,Android Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
79,Senior .Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
80,Technical Team Leader,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Graphic Design', 'Computer Software']"
81,Senior .NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
82,Secretary - Nasr City,['Administration'],['Real Estate/Property Management']
83,English Teacher,"['Training/Instructor', 'Education/Teaching']",['Education']
84,PHP Team Leader,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
85,Account Manager,['Business Development'],"['Information Technology Services', 'Computer Software']"
86,Sales Representative ( Engineering ),"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'Engineering - Construction/Civil/Architecture']",['Engineering Services']
87,Senior Full Stack .Net Software Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
88,CRM Consultant (Salesforce),"['Project/Program Management', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Consulting Services', 'Marketing and Advertising', 'Computer and Network Security']"
89,Senior UI/UX Designer,['Creative/Design/Art'],"['Information Technology Services', 'Internet/E-commerce', 'Computer Software']"
90,Course Instructor - Sharqia,['Education/Teaching'],['Education']
91,Telesales Representative,"['Sales/Retail', 'Customer Service/Support']","['Education', 'E-Learning', 'Training and Coaching']"
92,Mid Senior Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software', 'Graphic Design']"
93,3D Designer,"['Media/Journalism/Publishing', 'Creative/Design/Art']",['Marketing and Advertising']
94,Associate Software Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
95,Civil Engineer,['Engineering - Construction/Civil/Architecture'],['Real Estate/Property Management']
96,Lawyer,['Legal'],['Real Estate/Property Management']
97,Technical Lead,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Financial Services']"
98,Digital Marketing Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Public Relations and Communications', 'Computer Software', 'Marketing and Advertising']"
99,Receptionist & Admin Assistant,['Administration'],"['Architectural and Design Services', 'Construction - Residential & Commercial/Office', 'Furniture']"
100,Physical Education Teacher - Female,"['Education/Teaching', 'Sports and Leisure']","['Sports', 'Education']"
101,Product Owner / Business Analyst,"['Analyst/Research', 'Operations/Management', 'IT/Software Development']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
102,Key Account Sales Manager,['Sales/Retail'],"['Manufacturing', 'Food and Beverage Production', 'FMCG']"
103,Nursery Teacher Assistant,['Education/Teaching'],['Education']
104,Senior Business Analyst / Product Owner,['Analyst/Research'],['Information Technology Services']
105,School Transportation Manager,"['Installation/Maintenance/Repair', 'Administration']",['Education']
106,Associate Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
107,Front Desk Receptionist,['Administration'],"['Real Estate/Property Management', 'Engineering Services']"
108,WordPress Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
109,Sales Executive,"['Marketing/PR/Advertising', 'Sales/Retail', 'Business Development']","['Real Estate/Property Management', 'Marketing and Advertising', 'Banking']"
110,Software Team Lead,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Computer Games', 'Information Technology Services']"
111,Junior Full Stack Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
112,Sales Account Manager (Microsoft ERP Products),['Sales/Retail'],['Computer Software']
113,Junior Accountant,['Accounting/Finance'],"['Accounting and Auditing Services', 'Construction - Residential & Commercial/Office', 'Construction - Industrial Facilities and Infrastructure']"
114,Secretary - Mohandessein,['Administration'],['Real Estate/Property Management']
115,Technical & Maintenance Team Leader,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Installation/Maintenance/Repair']","['Engineering Services', 'Information Technology Services', 'Security and Surveillance']"
116,Telecom Linux Administrator,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Telecommunications', 'Computer Networking']"
117,Senior QA Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Quality']",['Information Technology Services']
118,Medical Conferences Marketing and Business Development Manager - Sheraton,"['Medical/Healthcare', 'Marketing/PR/Advertising', 'Business Development']","['Information Technology Services', 'Internet/E-commerce', 'Healthcare and Medical Services']"
119,CAD Designer,"['Engineering - Other', 'Creative/Design/Art']","['Architectural and Design Services', 'Manufacturing', 'Computer Software']"
120,Interior Designer,['Creative/Design/Art'],"['Marketing and Advertising', 'Training and Coaching', 'Management Consulting']"
121,Stock Keeper,['Logistics/Supply Chain'],"['Computer Software', 'Computer Hardware', 'Computer and Network Security']"
122,Senior Full Stack Developer ( .NET Angular 4+ ),"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
123,Social Media Specialist,['Marketing/PR/Advertising'],"['Marketing and Advertising', 'Logistics and Supply Chain']"
124,Sales Executive,['Sales/Retail'],['Marketing and Advertising']
125,Sales Engineer,"['Engineering - Construction/Civil/Architecture', 'Sales/Retail']",['Engineering Services']
126,Senior Presales Engineer,"['Engineering - Mechanical/Electrical', 'Sales/Retail']","['Engineering Services', 'Manufacturing', 'Energy and Utilities']"
127,Senior Operations Supervisor,"['Operations/Management', 'Logistics/Supply Chain', 'Engineering - Other']","['Logistics and Supply Chain', 'Information Technology Services', 'Computer Software']"
128,Business Development Specialist (Engineer),"['Engineering - Construction/Civil/Architecture', 'Business Development']","['Construction - Industrial Facilities and Infrastructure', 'Construction - Residential & Commercial/Office', 'Engineering Services']"
129,Senior Full Stack Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Sports', 'Computer Software', 'Transportation']"
130,Senior ERP Consultant,"['Accounting/Finance', 'IT/Software Development']",['Computer Software']
131,Site Administrative Officer (Construction) - Alexandria,"['Administration', 'Project/Program Management', 'Engineering - Construction/Civil/Architecture']",['Real Estate/Property Management']
132,Treasury Accountant,['Accounting/Finance'],['Construction - Residential & Commercial/Office']
133,Fleet Manager for Light Trucks,['Logistics/Supply Chain'],"['Transportation', 'Information Technology Services', 'Logistics and Supply Chain']"
134,AutoCAD Draft-man,['Engineering - Mechanical/Electrical'],"['Construction - Industrial Facilities and Infrastructure', 'Engineering Services', 'Consulting Services']"
135,Outdoor Sales Representative,['Sales/Retail'],['Marketing and Advertising']
136,معلم لغة عربية,['Education/Teaching'],['Education']
137,Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
138,UX Designer,"['Creative/Design/Art', 'IT/Software Development']","['Computer Games', 'Computer Software', 'Information Technology Services']"
139,Senior QC Software Engineer,"['Quality', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software', 'Insurance']"
140,Technical Support Representative - Spanish,['Customer Service/Support'],"['Information Technology Services', 'Financial Services']"
141,Junior Software Tester,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
142,Senior Front-End Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
143,Customer Service Representative,['Customer Service/Support'],['Information Technology Services']
144,Equipment Sales Engineer,"['Engineering - Mechanical/Electrical', 'Sales/Retail']",['Engineering Services']
145,Finance Manager,['Accounting/Finance'],['Engineering Services']
146,Outdoor Sales Representative,['Sales/Retail'],"['Computer Software', 'Graphic Design', 'Marketing and Advertising']"
147,Junior Sales Executive,['Sales/Retail'],['Real Estate/Property Management']
148,Site Accountant,['nan'],"['Engineering Services', 'Construction - Residential & Commercial/Office']"
149,Advertising & Marketing - Graphic Designer,"['Marketing/PR/Advertising', 'Creative/Design/Art']","['Graphic Design', 'Internet/E-commerce', 'Marketing and Advertising']"
150,Technical Support Manager - Software Solutions,"['Installation/Maintenance/Repair', 'IT/Software Development']",['Computer Software']
151,Back-End Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
152,Telesales Agent,"['Marketing/PR/Advertising', 'Customer Service/Support', 'Sales/Retail']",['Marketing and Advertising']
153,Content Creator - Indonesia #1 | ScaleUP -GE -RS,"['Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Graphic Design', 'Marketing and Advertising', 'Capital Markets']"
154,Graphic Designer,['Creative/Design/Art'],"['Marketing and Advertising', 'Computer Software']"
155,Sales Team Leader,"['Sales/Retail', 'Business Development']",['Real Estate/Property Management']
156,KG English Teacher,['Education/Teaching'],['Education']
157,Customer Service Representative,['Customer Service/Support'],['Information Technology Services']
158,Personal Assistant,['Administration'],"['Internet/E-commerce', 'Information Technology Services']"
159,Maths Teacher,['Education/Teaching'],['Education']
160,Software Implementer,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology']",['Marketing and Advertising']
161,Pediatrics Doctor (Code: PD101),['Medical/Healthcare'],['Healthcare and Medical Services']
162,Digital Marketer,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Pharmaceuticals', 'Computer Software']"
163,Senior Sales Executive,['Sales/Retail'],"['Engineering Services', 'Security and Surveillance', 'Import and Export']"
164,Sales Representative ( Outdoor ),"['Marketing/PR/Advertising', 'Business Development', 'Sales/Retail']",['Marketing and Advertising']
165,Application Support Engineer,['Engineering - Telecom/Technology'],"['Manufacturing', 'Information Technology Services', 'Banking']"
166,Senior Accountant,['Accounting/Finance'],"['Computer Software', 'Financial Services']"
167,"Back-End Web Developer ""Laravel""","['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
168,Administration & Financial Manager,"['Accounting/Finance', 'Administration', 'Operations/Management']",['Real Estate/Property Management']
169,Fleet Manager for Heavy Trucks,['Logistics/Supply Chain'],"['Transportation', 'Information Technology Services', 'Logistics and Supply Chain']"
170,Assistant Manager Security - Cairo Festival City Mall,['Administration'],"['Real Estate/Property Management', 'Construction - Residential & Commercial/Office', 'Retail']"
171,Business Development Manager-Offline/Printing,"['Sales/Retail', 'Marketing/PR/Advertising', 'Business Development']","['Publishing and Printing', 'Marketing and Advertising']"
172,"Financial Planning, Reporting & Budgeting Manager",['Accounting/Finance'],['Information Technology Services']
173,Brand Manager,"['Operations/Management', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Retail', 'Manufacturing', 'FMCG']"
174,.NET Team Lead,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
175,School Admin & Social Media Moderator,"['Media/Journalism/Publishing', 'Administration', 'Marketing/PR/Advertising']","['Media Production', 'Online Media', 'Education']"
176,Senior Mobile Developer - Android/iOS,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software', 'Insurance']"
177,Front End Developer - Vue.JS,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Engineering Services', 'Information Technology Services']"
178,Digital Marketing Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Travel and Tourism', 'Marketing and Advertising']"
179,UX Designer In India - GT,"['IT/Software Development', 'Creative/Design/Art']","['Non-Profit Organizations', 'Computer Software', 'Graphic Design']"
180,Cost Accountant & Store Specialist,"['Logistics/Supply Chain', 'Accounting/Finance']",['Information Technology Services']
181,Sales Manager,"['Sales/Retail', 'Operations/Management']",['Real Estate/Property Management']
182,Software Developer,"['IT/Software Development', 'Engineering - Mechanical/Electrical', 'Engineering - Telecom/Technology']","['Research', 'Computer Software']"
183,PHP Full Stack Web Developer / WordPress Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer and Network Security', 'Computer Software', 'Computer Networking']"
184,Secretary and Logistics Support Specialist,"['Logistics/Supply Chain', 'Administration', 'Customer Service/Support']","['Wholesale Trade', 'Import and Export', 'Manufacturing']"
185,Indoor Sales Representative,"['Customer Service/Support', 'Sales/Retail']","['Manufacturing', 'Consumer Electronics']"
186,Quality Control Engineer,"['Quality', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
187,Account Manager,"['Sales/Retail', 'Marketing/PR/Advertising', 'Customer Service/Support']",['Marketing and Advertising']
188,Linux Administrator,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Telecommunications', 'Computer Networking']"
189,Social Media Specialist,"['Media/Journalism/Publishing', 'Writing/Editorial', 'Marketing/PR/Advertising']","['Apparel and Fashion', 'Marketing and Advertising', 'Graphic Design']"
190,English Content Editor,"['Marketing/PR/Advertising', 'Writing/Editorial', 'Media/Journalism/Publishing']","['Information Technology Services', 'Internet/E-commerce', 'Computer Software']"
191,English Teacher,['Education/Teaching'],['Education']
192,Admin Assistant,['Administration'],"['Information Technology Services', 'Computer Hardware']"
193,WordPress Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
194,Junior WordPress Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Travel and Tourism', 'Internet/E-commerce', 'Computer Software']"
195,Senior UI/UX Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Education']"
196,Sales Representative,['Sales/Retail'],['Real Estate/Property Management']
197,Technical Director - Alexandria,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
198,Email Campaign - Digital Marketing Specialist,['Marketing/PR/Advertising'],"['Translation and Localization', 'Marketing and Advertising', 'Other - Not Classified']"
199,Engineering Manager,"['Engineering - Mechanical/Electrical', 'Operations/Management']",['Engineering Services']
200,Web Developer In Tunisia - GE,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Non-Profit Organizations']"
201,Land Surveyor Specialist - Alexandria,"['Engineering - Construction/Civil/Architecture', 'Engineering - Other']",['Real Estate/Property Management']
202,Senior MVC .NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
203,Real Estate Sales Director,['Sales/Retail'],['Construction - Residential & Commercial/Office']
204,Quality Engineer,"['Quality', 'R&D/Science']",['Manufacturing']
205,Senior IT Specialist,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
206,Sales Engineer - Cairo,"['Sales/Retail', 'Engineering - Mechanical/Electrical']",['Engineering Services']
207,Finalizer,['Creative/Design/Art'],['Marketing and Advertising']
208,Senior Front-End Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
209,Doctors Development Specialist,"['Pharmaceutical', 'Sales/Retail']","['Healthcare and Medical Services', 'Internet/E-commerce', 'Information Technology Services']"
210,English Teacher Assistant,['Education/Teaching'],['Education']
211,Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer and Network Security', 'Computer Software']"
212,Technical Office Manager,['Engineering - Mechanical/Electrical'],"['Engineering Services', 'Environmental Services']"
213,.Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Consulting Services', 'Information Technology Services', 'Computer Software']"
214,Senior Full Stack .NET Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
215,Software Testing Engineer,"['Quality', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
216,Document Controller,['Administration'],['Construction - Residential & Commercial/Office']
217,Junior Accountant,['Accounting/Finance'],['Real Estate/Property Management']
218,Oracle Database Admin,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Manufacturing', 'Banking']"
219,Flutter Developer - Nasr City,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
220,International Trade Fairs & Exhibitions Accounts Coordinator,"['Marketing/PR/Advertising', 'Administration', 'Operations/Management']",['Marketing and Advertising']
221,Professional Sales Associate,"['Marketing/PR/Advertising', 'Sales/Retail', 'Business Development']","['Internet/E-commerce', 'Real Estate/Property Management', 'Marketing and Advertising']"
222,Social Media Moderator,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Marketing and Advertising', 'Internet/E-commerce', 'Broadcasting and Film']"
223,Odoo Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Computer Networking', 'Computer Hardware']"
224,Creative Content Creator,"['Marketing/PR/Advertising', 'Writing/Editorial', 'Media/Journalism/Publishing']","['Marketing and Advertising', 'Public Relations and Communications', 'Online Media']"
225,English Teacher,['Education/Teaching'],['Education']
226,Testing Manager,"['Quality', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
227,Senior PHP Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Computer Software', 'Information Technology Services']"
228,Front End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Marketing and Advertising', 'Computer Software']"
229,Online Computer Science/Information Technology Tutor,"['Education/Teaching', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Education', 'Engineering Services', 'Computer Software']"
230,Dermatologist - دكتور جلدية,['Medical/Healthcare'],['Healthcare and Medical Services']
231,Recruitment Specialist,['Human Resources'],['Computer Software']
232,IT Help Desk Specialist - Minya,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
233,Music Teacher in India / GT,['Education/Teaching'],['Education']
234,.NET Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
235,Project Manager’s Assistant - Alexandria,"['Administration', 'Project/Program Management', 'Engineering - Construction/Civil/Architecture']","['Real Estate/Property Management', 'Engineering Services']"
236,UI/UX Graphic Designer,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Creative/Design/Art']",['Information Technology Services']
237,Senior Procurement Engineer,"['Purchasing/Procurement', 'Engineering - Mechanical/Electrical']",['Engineering Services']
238,Project Manager,['Project/Program Management'],"['Manufacturing', 'Banking', 'Information Technology Services']"
239,NodeJS Backend Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Computer Software']"
240,Senior Software Testing Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Quality']",['Computer Software']
241,Content Writer,['Media/Journalism/Publishing'],"['Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
242,Sales Manager - IT Hardware / SW - KSA,"['Sales/Retail', 'Customer Service/Support']","['Information Technology Services', 'Computer Networking', 'Computer Hardware']"
243,Senior Back-End Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
244,Performance & Culture Manager,"['Administration', 'Human Resources']","['Market Research', 'Marketing and Advertising']"
245,Internship - Business Development Intern,['Business Development'],['Information Technology Services']
246,Telesales Representative (Software),"['Sales/Retail', 'Customer Service/Support', 'IT/Software Development']","['Information Technology Services', 'Internet/E-commerce', 'Computer Software']"
247,Assistant Project Manager,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Project/Program Management']","['Management Consulting', 'Computer Software', 'Information Technology Services']"
248,Part Time Teacher,['Education/Teaching'],"['Arts and Crafts', 'Education', 'E-Learning']"
249,Telesales Specialist - Females Only,"['Sales/Retail', 'Customer Service/Support']",['Information Technology Services']
